time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.0765831229049,-0.148637767765,12.5909207563,6.23603999366,6.22829166675,0.0,0.261756169404,-0.376459311176,3.62973680101,0.00459801970063,-0.0586925374156,0.0,453.68111516318857,452.9688207078076,453.9309253854557,455.55287307367877
1.3800000000000008,0.0935350764265,-0.172282752756,12.8134566757,6.23672945093,6.22526464492,0.0,0.303637450988,-0.411627519306,3.78758666274,0.0225817368365,-0.0376581660895,0.0,465.9161568369674,467.556257984382,467.95211317933774,469.34988422136854
1.4400000000000008,0.112631372128,-0.197677861789,13.0380858307,6.23796574205,6.22357835609,0.0,0.333064255823,-0.434795266398,3.70032661475,0.0163252959832,-0.0137602295845,0.0,387.29438414907185,389.5353593805912,389.28864538687793,388.70276678644785
1.5000000000000009,0.133964824971,-0.224785231079,13.2650031605,6.23883783791,6.22329859894,0.0,0.378072990788,-0.468658855978,3.86303587643,0.0106896501605,0.00915668902543,0.0,469.2427571221978,471.0185595129374,469.4431517091166,469.00550646776844
1.560000000000001,0.157731013662,-0.253708767838,13.497210398,6.2395029721,6.22446314538,0.0,0.414045990142,-0.495401867456,3.87715469469,0.0118658734175,0.0345424916102,0.0,423.26173301808296,425.4410503046018,424.13198303172527,424.2328814302644
1.620000000000001,0.183918185055,-0.28443954278,13.735202721,6.24088950233,6.22625185841,0.0,0.45859774889,-0.528808374751,4.05531297333,0.0393145485809,0.0180992714417,0.0,476.1640164165819,474.9045725262085,474.30435966029063,476.4079001570577
1.680000000000001,0.212588304311,-0.317025502827,13.9812091035,6.24331043769,6.22741012579,0.0,0.496937748322,-0.557141941641,4.14458742504,0.0423408170242,0.021611827325,0.0,449.09415876819435,449.3789531334575,450.2039168894346,450.4495462926024
1.740000000000001,0.243303364461,-0.35109968302,14.2284392686,6.24573148963,6.22899360895,0.0,0.52678619969,-0.578477462014,4.09660277868,0.0360414124943,0.0345535357363,0.0,404.8010654257327,405.96432393000924,405.8965860311978,405.3318023771873
1.8000000000000012,0.276044944018,-0.386598543645,14.477702054,6.24825410166,6.23130118887,0.0,0.564342382213,-0.604561929188,4.21175417988,0.0519388187067,0.0453066028164,0.0,458.1321126309917,458.98703636466666,456.84820640195045,458.1150019588868
1.8600000000000012,0.310724834389,-0.423431655465,14.728770892,6.25118794582,6.23359858435,0.0,0.591454903686,-0.622981820823,4.15742768408,0.0419924432743,0.0180862952156,0.0,404.80794743190086,402.35157839388273,404.48100667935097,403.58587929448834
1.9200000000000013,0.34733856561,-0.461541520206,14.9834609248,6.25457718209,6.23460683446,0.0,0.62884699829,-0.646988746662,4.33160693024,0.0758919437423,0.0141081720719,0.0,475.678321593373,475.3734595019321,475.3450396226012,477.93770095787255
1.9800000000000013,0.386115892176,-0.500976230272,15.2474532291,6.25930017554,6.23606614771,0.0,0.66357006384,-0.666997128029,4.46763470606,0.0838366085432,0.0394119035485,0.0,464.22002452496866,466.2015787659587,466.49835032548236,467.1229582878451
2.0400000000000014,0.426795916963,-0.541438725679,15.516572636,6.26447954188,6.23878268867,0.0,0.692180784203,-0.681286372685,4.50290454606,0.0908786702338,0.0549802872746,0.0,435.7248711578207,437.02579929779176,434.8329415148688,435.4288356467349
2.1000000000000014,0.469275119571,-0.582717722767,15.7909858372,6.27035571692,6.24290636903,0.0,0.723349629471,-0.694065185137,4.64368161434,0.10923427911,0.0874351872455,0.0,468.0129999087574,470.53554755585816,467.2932319941337,468.72959605831346
2.1600000000000015,0.513628997252,-0.624663490913,16.0764856794,6.27681276145,6.24831223339,0.0,0.754421361317,-0.703339784179,4.87208846656,0.104173099972,0.0949488731673,0.0,495.08967701546186,495.6480991621508,495.0623054449656,494.6986038086604
